i,ts,side,entry_px,fwd_close,adx_14,bb_width_rank,atr_rank,dist_from_mid,year,signed_ret,adx_bucket
8215,2021-08-18 08:45:00,LONG,45264.89,45020.0,23.86314094248042,0.21,0.404,0.008943318489842244,2021,-0.005410153432384337,LOW
8239,2021-08-18 14:45:00,LONG,45419.98,45422.48,10.406315434518433,0.345,0.606,0.0086688485635846,2021,5.5041856028998687e-05,LOW
8265,2021-08-18 21:15:00,LONG,44684.56,45108.49,54.99084553927854,0.985,0.858,-0.011961060467981661,2021,0.009487169617424906,HIGH
8341,2021-08-19 16:15:00,SHORT,45754.26,46537.63,54.25647813244155,1.0,0.708,0.017914857069694975,2021,-0.01712124728932334,HIGH
8365,2021-08-19 22:15:00,SHORT,46563.67,47243.36,64.53349285525458,0.67,0.112,0.02296143326339836,2021,-0.014597002341095587,HIGH
8404,2021-08-20 08:00:00,LONG,46780.0,47044.0,16.164628389288474,0.09,0.046,-0.003277274604674739,2021,0.005643437366395896,LOW
8439,2021-08-20 16:45:00,SHORT,48778.13,48655.39,72.38783285481554,0.99,0.944,0.01715074061651329,2021,0.0025162916249556505,HIGH
8561,2021-08-21 23:15:00,SHORT,49167.24,48702.45,30.288003052890048,0.43,0.104,0.0025639509395103733,2021,0.009453245697745102,Q2
8585,2021-08-22 05:15:00,LONG,49034.58,49163.43,30.29146712780943,0.235,0.08,-0.0038623898304723206,2021,0.002627737404908914,Q2
8618,2021-08-22 13:30:00,LONG,48822.95,48629.0,16.97791386209882,0.445,0.216,-0.004795426167753277,2021,-0.003972517023244132,LOW
8667,2021-08-23 01:45:00,SHORT,49860.4,50266.51,62.80676342319761,0.995,0.48,0.016876320095658266,2021,-0.008144940674362833,HIGH
8721,2021-08-23 15:15:00,LONG,49772.69,49290.0,21.496997692958182,0.6,0.268,-0.006653881793610202,2021,-0.009697888540884617,LOW
8745,2021-08-23 21:15:00,LONG,49453.36,49029.99,46.592029743855356,0.41,0.29,-0.007707950066922572,2021,-0.008560995653278213,Q3
8802,2021-08-24 11:30:00,LONG,49367.44,48541.36,19.729616701308167,0.62,0.384,0.00045587243029661135,2021,-0.01673329627787063,LOW
8826,2021-08-24 17:30:00,LONG,48179.17,48251.47,65.60616320148368,0.85,0.878,-0.01311556773512365,2021,0.0015006485167760864,HIGH
8917,2021-08-25 16:15:00,SHORT,48689.0,48860.0,29.655513617828667,0.97,0.904,0.014438280507425322,2021,-0.0035120869190166156,Q2
8972,2021-08-26 06:00:00,LONG,47286.72,46850.86,78.08232092683593,0.995,0.99,-0.01731670822942641,2021,-0.009217387038052133,HIGH
8996,2021-08-26 12:00:00,LONG,46572.99,46788.92,21.267402378946564,0.135,0.804,-0.02628078611749952,2021,0.004636378295660216,LOW
9074,2021-08-27 07:30:00,SHORT,47313.64,47702.48,31.29578108130386,0.485,0.598,0.006150314437656526,2021,-0.008218348873601858,Q2
